starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 17 16:19:36 2022	1668701976	4	7	11	7
Thu Nov 17 16:19:36 2022	1668701976	4	15	19	15
Thu Nov 17 16:19:36 2022	1668701976	3	19	22	19
Thu Nov 17 16:19:36 2022	1668701976	3	25	28	25
Thu Nov 17 16:19:36 2022	1668701976	3	27	30	27
Thu Nov 17 16:19:36 2022	1668701976	3	30	32	30
Thu Nov 17 16:19:39 2022	1668701979	0	35	36	35
Thu Nov 17 16:19:39 2022	1668701979	0	38	38	38
Thu Nov 17 16:19:39 2022	1668701979	0	39	39	39
Thu Nov 17 16:19:39 2022	1668701979	1	39	40	39
Thu Nov 17 16:19:39 2022	1668701979	0	40	40	40
Thu Nov 17 16:19:39 2022	1668701979	0	41	41	41
Thu Nov 17 16:19:39 2022	1668701979	0	41	42	41
Thu Nov 17 16:19:39 2022	1668701979	0	42	42	41
Thu Nov 17 16:19:39 2022	1668701979	0	42	42	42
Thu Nov 17 16:19:39 2022	1668701979	0	41	42	41
Thu Nov 17 16:19:39 2022	1668701979	0	42	42	42
Thu Nov 17 16:19:39 2022	1668701979	0	43	43	43
Thu Nov 17 16:19:39 2022	1668701979	0	44	44	44
Thu Nov 17 16:19:39 2022	1668701979	0	44	44	44
Thu Nov 17 16:19:39 2022	1668701979	4	42	46	42
Thu Nov 17 16:19:36 2022	1668701976	3	43	46	43
Thu Nov 17 16:19:39 2022	1668701979	0	46	46	46
Thu Nov 17 16:19:39 2022	1668701979	0	46	46	46
Thu Nov 17 16:19:36 2022	1668701976	3	44	46	44
Thu Nov 17 16:19:39 2022	1668701979	3	44	47	44
Thu Nov 17 16:19:39 2022	1668701979	0	46	47	46
Thu Nov 17 16:19:39 2022	1668701979	1	46	47	46
Thu Nov 17 16:19:39 2022	1668701979	0	47	47	47
Thu Nov 17 16:19:36 2022	1668701976	3	44	47	44
Thu Nov 17 16:19:39 2022	1668701979	0	48	48	48
Thu Nov 17 16:19:39 2022	1668701979	1	48	49	48
Thu Nov 17 16:19:39 2022	1668701979	0	49	49	49
Thu Nov 17 16:19:39 2022	1668701979	2	47	49	47
Thu Nov 17 16:19:39 2022	1668701979	0	49	49	49
Thu Nov 17 16:19:39 2022	1668701979	0	49	49	49
Thu Nov 17 16:19:39 2022	1668701979	2	47	49	47
Thu Nov 17 16:19:36 2022	1668701976	3	48	51	48
Thu Nov 17 16:19:39 2022	1668701979	0	51	51	51
Thu Nov 17 16:19:39 2022	1668701979	0	51	51	51
Thu Nov 17 16:19:39 2022	1668701979	0	51	51	51
Thu Nov 17 16:19:39 2022	1668701979	0	51	51	51
Thu Nov 17 16:19:39 2022	1668701979	0	52	53	52
Thu Nov 17 16:19:36 2022	1668701976	3	50	53	50
Thu Nov 17 16:19:39 2022	1668701979	4	49	54	49
Thu Nov 17 16:19:39 2022	1668701979	0	54	54	54
Thu Nov 17 16:19:36 2022	1668701976	3	52	55	52
Thu Nov 17 16:19:38 2022	1668701978	0	55	56	55
Thu Nov 17 16:19:36 2022	1668701976	3	53	56	52
Thu Nov 17 16:19:38 2022	1668701978	0	55	56	55
Thu Nov 17 16:19:39 2022	1668701979	3	54	57	54
Thu Nov 17 16:19:39 2022	1668701979	0	57	57	57
Thu Nov 17 16:19:39 2022	1668701979	4	53	57	53
Thu Nov 17 16:19:39 2022	1668701979	0	57	57	57
Thu Nov 17 16:19:39 2022	1668701979	0	57	58	57
Thu Nov 17 16:19:39 2022	1668701979	0	57	58	57
Thu Nov 17 16:19:39 2022	1668701979	2	56	59	56
